"开始","结束","Active","Away","视频","游戏","正能量"
"2018/8/31","2018/8/31","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/9/1","2018/9/1","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/9/2","2018/9/2","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/9/3","2018/9/3","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/9/4","2018/9/4","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/9/5","2018/9/5","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/9/6","2018/9/6","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/9/7","2018/9/7","6.57 h","0.52 h","0.00 h","5.06 h","1.24 h"
"2018/9/8","2018/9/8","4.57 h","0.89 h","0.00 h","2.32 h","2.09 h"
"2018/9/9","2018/9/9","4.64 h","1.18 h","0.00 h","4.05 h","0.56 h"
"2018/9/10","2018/9/10","5.65 h","1.31 h","0.00 h","3.27 h","2.28 h"
"2018/9/11","2018/9/11","1.43 h","0.52 h","0.00 h","0.56 h","0.79 h"
"2018/9/12","2018/9/12","2.34 h","0.00 h","0.00 h","1.91 h","0.42 h"
"2018/9/13","2018/9/13","2.85 h","0.42 h","0.00 h","1.34 h","1.51 h"
"2018/9/14","2018/9/14","4.84 h","0.50 h","0.00 h","1.69 h","2.78 h"
"2018/9/15","2018/9/15","4.21 h","0.00 h","0.00 h","3.95 h","0.25 h"
"2018/9/16","2018/9/16","1.98 h","0.77 h","0.00 h","0.90 h","1.08 h"
"2018/9/17","2018/9/17","1.95 h","0.00 h","0.00 h","0.95 h","0.95 h"
"2018/9/18","2018/9/18","0.60 h","0.53 h","0.00 h","0.00 h","0.37 h"
"2018/9/19","2018/9/19","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/9/20","2018/9/20","2.02 h","0.00 h","0.00 h","0.87 h","1.14 h"
"2018/9/21","2018/9/21","4.81 h","0.50 h","0.00 h","4.39 h","0.40 h"
"2018/9/22","2018/9/22","0.18 h","0.00 h","0.00 h","0.00 h","0.17 h"
"2018/9/23","2018/9/23","3.87 h","0.77 h","0.00 h","3.46 h","0.37 h"
"2018/9/24","2018/9/24","4.76 h","0.00 h","0.00 h","4.09 h","0.52 h"
"2018/9/25","2018/9/25","1.60 h","0.00 h","0.00 h","1.11 h","0.29 h"
"2018/9/26","2018/9/26","2.64 h","0.84 h","0.00 h","1.04 h","1.55 h"
"2018/9/27","2018/9/27","5.04 h","0.00 h","0.00 h","3.91 h","0.49 h"
"2018/9/28","2018/9/28","1.59 h","0.19 h","0.00 h","0.00 h","1.15 h"
"2018/9/29","2018/9/29","0.42 h","0.00 h","0.00 h","0.00 h","0.39 h"
"2018/9/30","2018/9/30","3.83 h","0.19 h","0.00 h","3.78 h","0.05 h"
"2018/10/1","2018/10/1","6.68 h","0.00 h","0.00 h","6.43 h","0.07 h"
"2018/10/2","2018/10/2","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/10/3","2018/10/3","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/10/4","2018/10/4","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/10/5","2018/10/5","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/10/6","2018/10/6","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/10/7","2018/10/7","1.37 h","0.17 h","0.00 h","1.37 h","0.00 h"
"2018/10/8","2018/10/8","8.42 h","4.05 h","0.00 h","7.08 h","0.69 h"
"2018/10/9","2018/10/9","1.73 h","0.00 h","0.00 h","1.73 h","0.00 h"
"2018/10/10","2018/10/10","5.30 h","0.59 h","0.00 h","5.15 h","0.13 h"
"2018/10/11","2018/10/11","4.89 h","1.15 h","0.00 h","2.70 h","2.14 h"
"2018/10/12","2018/10/12","1.42 h","0.24 h","0.00 h","1.38 h","0.03 h"
"2018/10/13","2018/10/13","2.53 h","0.00 h","0.00 h","0.00 h","2.46 h"
"2018/10/14","2018/10/14","2.85 h","0.27 h","0.00 h","2.06 h","0.76 h"
"2018/10/15","2018/10/15","1.36 h","1.43 h","0.00 h","0.68 h","0.51 h"
"2018/10/16","2018/10/16","3.09 h","1.11 h","0.00 h","1.70 h","1.35 h"
"2018/10/17","2018/10/17","1.01 h","0.33 h","0.00 h","0.00 h","0.96 h"
"2018/10/18","2018/10/18","2.72 h","0.56 h","0.00 h","1.52 h","1.21 h"
"2018/10/19","2018/10/19","1.39 h","0.24 h","0.00 h","1.16 h","0.23 h"
"2018/10/20","2018/10/20","2.65 h","0.80 h","0.00 h","0.61 h","2.00 h"
"2018/10/21","2018/10/21","4.81 h","0.29 h","0.00 h","2.59 h","1.72 h"
"2018/10/22","2018/10/22","0.75 h","0.58 h","0.00 h","0.57 h","0.17 h"
"2018/10/23","2018/10/23","4.07 h","1.01 h","0.00 h","1.14 h","2.91 h"
"2018/10/24","2018/10/24","3.29 h","0.18 h","0.00 h","3.07 h","0.19 h"
"2018/10/25","2018/10/25","1.88 h","0.00 h","0.00 h","1.79 h","0.08 h"
"2018/10/26","2018/10/26","2.52 h","0.47 h","0.00 h","0.00 h","2.49 h"
"2018/10/27","2018/10/27","1.93 h","0.29 h","0.00 h","0.90 h","0.99 h"
"2018/10/28","2018/10/28","3.03 h","0.56 h","0.00 h","2.62 h","0.21 h"
"2018/10/29","2018/10/29","1.23 h","0.94 h","0.00 h","0.00 h","1.18 h"
"2018/10/30","2018/10/30","2.93 h","0.28 h","0.00 h","0.00 h","2.90 h"
"2018/10/31","2018/10/31","3.14 h","0.00 h","0.00 h","0.05 h","2.68 h"
"2018/11/1","2018/11/1","1.85 h","0.17 h","0.00 h","1.11 h","0.54 h"
"2018/11/2","2018/11/2","4.47 h","0.21 h","0.00 h","1.81 h","2.29 h"
"2018/11/3","2018/11/3","0.00 h","0.00 h","0.00 h","0.00 h","0.00 h"
"2018/11/4","2018/11/4","7.12 h","0.46 h","0.00 h","1.58 h","4.94 h"
"2018/11/5","2018/11/5","1.16 h","0.00 h","0.00 h","0.00 h","1.09 h"
"2018/11/6","2018/11/6","4.12 h","1.66 h","0.00 h","2.94 h","1.17 h"
"2018/11/7","2018/11/7","1.64 h","0.00 h","0.00 h","1.43 h","0.21 h"
"2018/11/8","2018/11/8","4.35 h","1.37 h","0.00 h","0.00 h","4.16 h"
"2018/11/9","2018/11/9","1.78 h","0.00 h","0.00 h","1.28 h","0.42 h"
"2018/11/10","2018/11/10","2.78 h","0.26 h","0.00 h","0.51 h","2.21 h"
"2018/11/11","2018/11/11","1.86 h","0.00 h","0.00 h","0.51 h","1.34 h"
"2018/11/12","2018/11/12","2.19 h","0.00 h","0.00 h","0.00 h","2.11 h"
