,日,开始,结束,工作段描述,持续 (小时),持续 (分钟),任务,标签,工作段细节,任务详细信息
0,2018/9/24,,,,0,107.5,北教,,,
1,2018/9/24,,,,0,140,北教,,,
2,2018/9/24,,,,0,40,其他工作,,,
3,2018/9/24,,,,0,24,时间管理,,,
4,2018/9/25,,,,0,30,其他工作,,,
5,2018/9/25,,,,0,82.5,北教,,,
6,2018/9/25,,,,0,51.5,市调作业,,,
7,2018/9/25,,,,0,150,上课 中微,,,
8,2018/9/25,,,,0,30,上课 计量,,,
9,2018/9/26,,,,0,15,时间管理,,,
10,2018/9/26,,,,0,120,上课 多元,,,
11,2018/9/26,,,,0,30,英语作业,,,
12,2018/9/26,,,,0,90,上课 教育统计,,,
13,2018/9/27,,,,0,120,上课 统计写作,,,
14,2018/9/27,,,,0,30,英语作业,,,
15,2018/9/27,,,,0,90,上课 英语,,,
16,2018/9/27,,,,0,7.5,时间管理,,,
17,2018/9/28,,,,0,50,开会,,,
18,2018/9/28,,,,0,150,组会,,,
19,2018/9/28,,,,0,33.5,英语作业,,,
20,2018/9/28,,,,0,70,市调作业,,,
21,2018/9/28,,,,0,60,其他工作,,,
22,2018/9/29,,,,0,60,上课 统计写作,,,
23,2018/9/29,,,,0,40,上课 英语,,,
24,2018/9/30,,,,0,125,时间管理,,,
25,2018/9/30,,,,0,24,其他工作 填表,,,
26,2018/9/30,,,,0,202.5,市调作业,,,
27,2018/10/4,,,,0,102,时间管理,,,
28,2018/10/4,,,,0,143.5,《金字塔原理》,,,
29,2018/10/3,,,,0,223,计量作业,,,
30,2018/10/3,,,,0,85.5,时间管理,,,
31,2018/10/5,,,,0,720,游戏 太吾绘卷,,,
32,2018/10/6,,,,0,450,游戏 太吾绘卷,,,
33,2018/10/6,,,,0,250,同学聚会,,,
34,2018/10/7,,,,0,6,时间管理,,,
35,2018/10/7,,,,0,270,游戏 太吾绘卷,,,
36,2018/10/7,,,,0,182,市调作业,,,
37,2018/10/7,,,,0,121,统计写作 文献综述,,,
38,2018/10/7,,,,0,0,奖学金材料,,,
39,2018/10/7,,,,0,28,运动 散步,,,
40,2018/10/8,,,,0,0.1,上课 马克思主义,,,
41,2018/10/8,,,,0,120,奖学金文件,,,
42,2018/10/8,,,,0,80,市场调查课作业讨论,,,
43,2018/10/8,,,,0,330,游戏 太吾绘卷,,,
44,2018/10/9,,,,0,7,时间管理,,,
45,2018/10/9,,,,0,0,市场调查课作业,,,
46,2018/10/9,,,,0,164.5,统计写作 文献综述,,,
47,2018/10/9,,,,0,96.5,统计写作 文献综述,,,
48,2018/10/9,,,,0,101.5,市场调查作业,,,
49,2018/10/9,,,,0,0,多元,,,
50,2018/10/10,,,,0,60,上课 多元,,,
51,2018/10/10,,,,0,30,上课 教育统计,,,
52,2018/10/10,,,,0,120,市场调查作业,,,
53,2018/10/11,,,,0,134.5,市场调查作业 ,,,
54,2018/10/11,,,,0,12,英语 墨墨单词,,,
55,2018/10/12,,,,0,75.5,时间管理,,,
56,2018/10/12,,,,0,63,前届论文,,,
57,2018/10/12,,,,0,180,组会,,,
58,2018/10/13,,,,0,15,时间管理,,,
59,2018/10/13,,,,0,143,华创杯 土流 demo,,,
60,2018/10/13,,,,0,250.5,华创杯 土流 demo,,,
61,2018/10/14,,,,0,112,华创杯 土流,,,
62,2018/10/14,,,,0,39.5,北教梳理,,,
63,2018/10/14,,,,0,58.5,统计学习,,,
64,2018/10/14,,,,0,31,统计学习,,,
65,2018/10/14,,,,0,240,组会,,,
66,2018/10/15,,,,0,388.5,华创杯 土流,,,
67,2018/10/15,,,,0,17,华创杯 土流,,,
68,2018/10/16,,,,0,60,上课 中微,,,
69,2018/10/16,,,,0,161.5,华创 土流,,,
70,2018/10/16,,,,0,45,运动,,,
71,2018/10/17,,,,0,10,上课 多元,,,
72,2018/10/17,,,,0,194.5,论文 学姐论文,,,
73,2018/10/17,,,,0,60,论文 学姐论文,,,
74,2018/10/17,,,,0,30,上课 教育统计,,,
75,2018/10/18,,,,0,30,上课 统计写作,,,
76,2018/10/18,,,,0,40,上课 英语,,,
77,2018/10/18,,,,0,90,下午 华创 土流讨论 ,,,
78,2018/10/18,,,,0,10,英语作业,,,
79,2018/10/18,,,,0,60,论文 文本分析书籍整理,,,
80,2018/10/18,,,,0,18,英语 墨墨单词,,,
81,2018/10/19,,,,0,100.5,论文 书籍整理,,,
82,2018/10/19,,,,0,17,华创 土流,,,
83,2018/10/19,,,,0,40,组会,,,
84,2018/10/19,,,,0,51,论文 青梅学姐论文,,,
85,2018/10/19,,,,0,141.5,时间管理,,,
86,2018/10/20,,,,0,11,统计写作 课题申请,,,
87,2018/10/20,,,,0,118.5,论文 青梅学姐论文,,,
88,2018/10/20,,,,0,171,论文 青梅学姐论文,,,
89,2018/10/20,,,,0,132,计量作业 ,,,
90,2018/10/21,,,,0,254.5,论文 青梅学姐论文,,,
91,2018/10/21,,,,0,19.5,论文 青梅学姐论文,,,
92,2018/10/21,,,,0,13,软件学习 git,,,
93,2018/10/21,,,,0,60,组会,,,
94,2018/10/22,,,,0,135,统计学习,,,
95,2018/10/22,,,,0,164,华创 土流,,,
96,2018/10/22,,,,0,20,运动 天台,,,
97,2018/10/23,,,,0,120,上课 中微,,,
98,2018/10/23,,,,0,91.5,统计学习 7.4.0,,,
99,2018/10/23,,,,0,127.5,华创 土流,,,
100,2018/10/23,,,,0,10,上课 计量,,,
101,2018/10/23,,,,0,0,上课 计量,,,
102,2018/10/24,,,,0,60,上课 多元,,,
103,2018/10/24,,,,0,188.5,统计学习,,,
104,2018/10/24,,,,0,30,上课 教育统计,,,
105,2018/10/24,,,,0,60,多元 结构方程模型,,,
106,2018/10/25,,,,0,25,上课 统计写作,,,
107,2018/10/25,,,,0,110.5,统计学习,,,
108,2018/10/25,,,,0,16,英语作业,,,
109,2018/10/25,,,,0,90,上课 英语,,,
110,2018/10/25,,,,0,146,养殖业污染 课题申请,,,
111,2018/10/26,,,,0,128,统计学习,,,
112,2018/10/26,,,,0,150,组会,,,
113,2018/10/26,,,,0,0.1,讲座,,,
114,2018/10/26,,,,0,60.5,华创 土流,,,
115,2018/10/27,,,,0,76.5,华创土流,,,
116,2018/10/27,,,,0,121,其他工作 文本质性编码,,,
117,2018/10/27,,,,0,195.5,其他工作 文本质性编码,,,
118,2018/10/28,,,,0,344.5,华创土流,,,
119,2018/10/28,,,,0,30,组会,,,
120,2018/10/28,,,,0,60,其他工作,,,
121,2018/10/29,,,,0,78,软件学习R 上课准备,,,
122,2018/10/29,,,,0,20,上课 马克思主义,,,
123,2018/10/29,,,,0,88,统计学习,,,
124,2018/10/29,,,,0,129.5,统计写作作业 养殖业污染,,,
125,2018/10/29,,,,0,66.5,统计写作作业 养殖业污染,,,
126,2018/10/29,,,,0,13,时间管理,,,
127,2018/10/29,,,,0,52,华创 土流,,,
128,2018/10/30,,,,0,61,统计学习,,,
129,2018/10/30,,,,0,14,统计写作 养殖污染,,,
130,2018/10/30,,,,0,155.5,软件学习 R的上课准备,,,
131,2018/10/30,,,,0,101.5,软件学习 R的上课准备,,,
132,2018/10/30,,,,0,60,上课 中微,,,
133,2018/10/30,,,,0,15,上课 计量,,,
134,2018/10/30,,,,0,82.5,华创 土流,,,
