,date,starttime,endtime,type1,type2,type3,type4,type5,holetime
0,2019-01-11 00:00:00,2019-01-11 10:30:00,2019-01-11 18:41:00,0,0,3.4333333333333336,1.4666666666666666,1.2333333333333334,6.133333333333334
0,2019-01-12 00:00:00,2019-01-12 08:31:02,2019-01-12 18:39:16,0,0.1,5.25,0,0,5.35
0,2019-01-13 00:00:00,2019-01-13 11:07:57,2019-01-13 16:01:57,0,0,2.9333333333333336,0,0,2.9333333333333336
0,2019-01-14 00:00:00,2019-01-14 08:46:00,2019-01-14 21:15:00,0,0,5.533333333333333,0,0,5.533333333333333
0,2019-01-15 00:00:00,2019-01-15 12:30:00,2019-01-15 15:55:00,0,0,2.216666666666667,0,0,2.216666666666667
0,2019-01-16 00:00:00,2019-01-16 09:28:00,2019-01-16 20:16:41,0,0,5.283333333333333,0.9,0,6.183333333333334
0,2019-01-17 00:00:00,2019-01-17 09:34:42,2019-01-17 21:40:40,0,0,4.85,1.3666666666666667,0,6.216666666666667
0,2019-01-18 00:00:00,2019-01-18 10:00:00,2019-01-18 18:13:17,0,0,6.083333333333334,0.18333333333333332,0.31666666666666665,6.583333333333334
0,2019-01-19 00:00:00,2019-01-19 09:08:43,2019-01-19 21:49:45,0,0,4.516666666666667,2.1333333333333333,1.2,7.8500000000000005
0,2019-01-20 00:00:00,2019-01-20 10:19:35,2019-01-20 17:22:54,0,0,2.533333333333333,1.0666666666666667,0,3.5999999999999996
0,2019-01-21 00:00:00,2019-01-21 08:47:00,2019-01-21 22:00:00,0,0,0.8666666666666667,0.5833333333333334,2.9,4.35
0,2019-01-22 00:00:00,2019-01-22 11:37:17,2019-01-22 13:58:01,0,0,0.25,1.5333333333333334,0,1.7833333333333334
0,2019-01-23 00:00:00,2019-01-23 09:40:00,2019-01-23 21:59:04,0,0,0.5,1.4833333333333334,1.1833333333333333,3.166666666666667
0,2019-01-24 00:00:00,2019-01-24 09:59:05,2019-01-24 22:40:00,0,0,1.8333333333333335,1.25,2.8,5.883333333333333
0,2019-01-25 00:00:00,2019-01-25 09:54:49,2019-01-25 21:06:45,0,0,0,0,6.683333333333334,6.683333333333334
0,2019-01-27 00:00:00,2019-01-27 18:44:00,2019-01-27 23:59:00,0,0,0,0,5.233333333333333,5.233333333333333
0,2019-01-28 00:00:00,2019-01-28 00:00:00,2019-01-28 23:20:42,0.45,0,2.25,0.45,5.7,8.850000000000001
0,2019-01-29 00:00:00,2019-01-29 09:14:09,2019-01-29 20:58:50,1.1333333333333333,0,0.55,0,2.65,4.333333333333333
0,2019-01-30 00:00:00,2019-01-30 09:20:00,2019-01-30 21:16:23,0,0,8.133333333333333,0.7,0,8.833333333333332
0,2019-01-31 00:00:00,2019-01-31 09:02:15,2019-01-31 22:42:13,0,0,4.783333333333333,0,4.983333333333333,9.766666666666666
0,2019-02-01 00:00:00,2019-02-01 09:48:45,2019-02-01 20:50:00,0,0,0.8166666666666667,4.566666666666666,0,5.383333333333333
0,2019-02-02 00:00:00,2019-02-02 10:00:00,2019-02-02 14:26:00,0,0,1.4333333333333333,1.2833333333333332,0,2.716666666666667
0,2019-02-03 00:00:00,2019-02-03 17:10:00,2019-02-03 20:00:00,0,0,2.8333333333333335,0,0,2.8333333333333335
0,2019-02-04 00:00:00,2019-02-04 09:00:00,2019-02-04 23:36:00,0,0,8.35,0,2.0166666666666666,10.366666666666667
0,2019-02-05 00:00:00,2019-02-05 21:05:06,2019-02-05 21:18:17,0,0,0,0.21666666666666667,0,0.21666666666666667
0,2019-02-07 00:00:00,2019-02-07 09:52:29,2019-02-07 22:36:07,4.45,0.25,0.7333333333333333,0,1.7166666666666668,7.15
0,2019-02-08 00:00:00,2019-02-08 08:51:00,2019-02-08 19:00:00,0,0,7.15,0,0.5333333333333333,7.683333333333334
0,2019-02-09 00:00:00,2019-02-09 09:01:00,2019-02-09 21:29:03,2.3,0,3.0,0,2.6,7.9
0,2019-02-10 00:00:00,2019-02-10 09:09:16,2019-02-10 23:29:01,1.85,0,0,0,6.883333333333333,8.733333333333333
0,2019-02-11 00:00:00,2019-02-11 09:11:51,2019-02-11 19:26:00,3.1333333333333333,0,2.6333333333333333,0,0.75,6.516666666666667
0,2019-02-12 00:00:00,2019-02-12 09:23:39,2019-02-12 21:57:44,4.716666666666667,0.9666666666666667,0.8333333333333334,0,2.0166666666666666,8.533333333333333
0,2019-02-13 00:00:00,2019-02-13 10:16:17,2019-02-13 23:22:10,5.783333333333333,0,2.3,0,0.7666666666666667,8.85
0,2019-02-14 00:00:00,2019-02-14 09:24:48,2019-02-14 21:24:03,0,0.95,2.75,0,1.5333333333333332,5.233333333333333
0,2019-02-15 00:00:00,2019-02-15 08:13:38,2019-02-15 16:29:59,3.0,0,0,0.13333333333333333,1.2166666666666668,4.35
0,2019-02-16 00:00:00,2019-02-16 08:23:00,2019-02-16 10:35:12,0,0,0,1.65,0.5166666666666667,2.1666666666666665
0,2019-02-17 00:00:00,2019-02-17 15:21:00,2019-02-17 21:50:00,0,3.0833333333333335,0,0,0.1,3.1833333333333336
0,2019-02-18 00:00:00,2019-02-18 09:00:00,2019-02-18 23:59:00,0,7.866666666666667,0,0.05,0,7.916666666666667
0,2019-02-19 00:00:00,2019-02-19 00:00:00,2019-02-19 23:59:00,0,4.816666666666666,0,0,0,4.816666666666666
0,2019-02-20 00:00:00,2019-02-20 00:00:00,2019-02-20 15:18:02,0,5.966666666666667,0,0,0,5.966666666666667
0,2019-02-21 00:00:00,2019-02-21 10:04:02,2019-02-21 23:14:00,0,6.016666666666667,0,0,1.9166666666666665,7.933333333333334
