date,lastnight.h,lastnight.m,ln,today.h,today.m,cut,today,lastsleep,deepsleep,dp.h,dp.m,starttime,s.h,s.m,holestudy,purestudy,rest,rate,holephone,goodphone,badtime
4/1,12,27,12.45,7,5,,7.083333333,6.633333333,2.60 ,2.00 ,36.00 ,8.016666667,8,1,7.05,5.95,1.1,1.18487395,338,41,4.95
4/2,11,53,11.88333333,6,55,,6.916666667,7.033333333,1.55 ,1.00 ,33.00 ,0,,,0,0,0,#DIV/0!,562,7,9.25
4/3,10,50,10.83333333,7,15,,7.25,8.416666667,2.07 ,2.00 ,4.00 ,12.83333333,12,50,5.283,3.917,1.366,1.348736278,619,0,10.31666667
4/4,10,20,10.33333333,7,18,,7.3,8.966666667,0.00 ,,,0,,,4.67,2.33,2.34,2.004291845,898,3,14.91666667
4/5,11,52,11.86666667,7,12,,7.2,7.333333333,2.53 ,2.00 ,32.00 ,7.766666667,7,46,6.417,5.404,1.013,1.187453738,391,61,5.5
4/6,12,42,12.7,7,17,,7.283333333,6.583333333,2.32 ,2.00 ,19.00 ,8.2,8,12,7.73,5.783,1.947,1.336676466,278,65,3.55
4/7,10,50,10.83333333,6,45,,6.75,7.916666667,2.52 ,2.00 ,31.00 ,7.533333333,7,32,9.583,6.05,3.533,1.583966942,442,54,6.466666667
4/8,9,29,9.483333333,5,36,2,5.6,8.083333333,2.47 ,2.00 ,28.00 ,7.816666667,7,49.00 ,8.9,6.593,2.307,1.349916578,6,0,0.1
4/9,10,36,10.6,6,37,,6.616666667,8.016666667,1.18 ,1.00 ,11.00 ,7.433333333,7,26.00 ,6,4.8,1.2,1.25,0,0,0
4/10,10,39,10.65,6,21,,6.35,7.7,2.02 ,2.00 ,1.00 ,7.2,7,12.00 ,9.117,6.975,2.142,1.307096774,192,26,2.766666667
4/11,10,24,10.4,6,52,,6.866666667,8.466666667,2.38 ,2.00 ,23.00 ,7.783333333,7,47.00 ,3,2.25,0.75,1.333333333,161,0,2.683333333
4/12,10,51,10.85,7,6,,7.1,8.25,2.42 ,2.00 ,25.00 ,7.816666667,7,49.00 ,5.95,4.9,1.05,1.214285714,216,42,2.9
4/13,10,41,10.68333333,6,29,,6.483333333,7.8,1.88 ,1.00 ,53.00 ,7.45,7,27.00 ,10.02 ,9.75 ,0.267,1.027384615,280,78,3.366666667
4/14,10,33,10.55,7,0,,7,8.45,3.10 ,3.00 ,6.00 ,8.85,8,51.00 ,8.65,7.33,1.32,1.180081855,482,70,6.866666667
4/15,11,7,11.11666667,6,25,,6.416666667,7.3,2.35,2,21,8.65,8,39,6,2.4,3.6,2.5,554,5,9.15
4/16,13,33,13.55,6,3,,6.05,4.5,1.766666667,1,46,8.733333333,8,44,9.633,7.75,1.883,1.242967742,352,14,5.633333333
4/17,10,43,10.71666667,6,40,1.183333333,6.666666667,7.930277778,1.15,1,9,8.45,8,27,8.117,6.283,1.834,1.291898774,542,55,8.116666667
4/18,11,31,11.51666667,6,43,,6.716666667,7.2,1.933333333,1,56,7.7,7,42,3,2.1375,0.8625,1.403508772,440,0,7.333333333
4/19,11,37,11.61666667,7,0,,7,7.383333333,1.5,1,30,7.783333333,7,47,5.75,4.617,1.133,1.245397444,451,22,7.15
4/20,11,28,11.46666667,6,14,,6.233333333,6.766666667,1.233333333,1,14,9.733333333,9,44,6.367,6.142,0.225,1.036633019,582,63,8.65
