date,lastnight.h,lastnight.m,ln,today.h,today.m,cut,today,lastsleep,deepsleep,dp.h,dp.m,starttime,s.h,s.m,holestudy,purestudy,rest,rate,holephone,goodphone,badtime
2/5,,,11.55,,,0,7.416666667,7.866666667,,,,,,,5.2,3.8,1.4,1.368421053,498,2,8.266666667
2/6,,,12.56666667,,,0,7.583333333,7.016666667,,,,,,,0,0,0,,428,0,7.133333333
2/7,,,11.48333333,,,0,6.716666667,7.233333333,,,,,,,8,4.5,3.5,1.777777778,389,0,6.483333333
2/8,,,11.5,,,0,7.45,7.95,,,,,,,0,0,0,,673,0,11.21666667
2/9,,,17.5,,,0,9,3.5,,,,,,,0,0,0,,774,13,12.68333333
2/10,,,10.58333333,,,0,7.5,8.916666667,,,,,,,3.225,2.5,0.725,1.29,625,81,9.066666667
2/11,,,10.9,,,0,7.416666667,8.516666667,,,,,,,0,0,0,,681,0,11.35
2/12,,,13.56666667,,,0,7.75,6.183333333,,,,,,,0,0,0,,546,0,9.1
2/13,,,9.183333333,,,0,6.833333333,9.65,,,,,,,2,1.67,0.33,1.19760479,557,89,7.8
2/14,,,9.5,,,0,6.5,9,,,,,,,4,3.33,0.67,1.201201201,437,186,4.183333333
2/15,,,10,,,0,7.333333333,9.333333333,,,,,,,2.166666667,1.7,0.466666667,1.274509804,449,40,6.816666667
2/16,,,9.25,,,0,6.666666667,9.416666667,,,,,,,3,2.5,0.5,1.2,741,168,9.55
2/17,,,11,,,0,5.75,6.75,,,,,,,3.5,2.92,0.58,1.198630137,550,205,5.75
2/18,,,9.416666667,,,0,4.666666667,7.25,,,,,,,1.935,1.5,0.435,1.29,417,27,6.5
2/19,,,10.75,,,0,6.666666667,7.916666667,,,,,,,0,0,0,,335,7,5.466666667
2/20,,,10.5,,,0,6.5,8,,,,,,,9.51375,7.375,2.13875,1.29,328,54,4.566666667
2/21,,,10.83333333,,,0,5.5,6.666666667,,,,,,,8.79135,6.815,1.97635,1.29,381,73,5.133333333
2/22,,,11.25,,,0,6.333333333,7.083333333,,,,,,,10.02975,7.775,2.25475,1.29,265,55,3.5
2/23,,,11.16666667,,,0,7.166666667,8,,,,,,,9.288,7.2,2.088,1.29,277,58,3.65
2/24,,,11.16666667,,,0,6.25,7.083333333,,,,,,,9.38475,7.275,2.10975,1.29,434,55,6.316666667
2/25,11,16,11.26666667,5,40,0,5.666666667,6.4,,,,,,,0.774,0.6,0.174,1.29,556,7,9.15
2/26,9,26,9.433333333,6,20,0,6.333333333,8.9,,,,,,,1.29,1,0.29,1.29,240,16,3.733333333
2/27,11,7,11.11666667,6,36,0,6.6,7.483333333,1.883333333,,,7.7,,,8.5,7.4,1.1,1.148648649,311,60,4.183333333
2/28,10,47,10.78333333,6,59,0,6.983333333,8.2,2.033333333,,,7.85,,,10.35,6.52,3.83,1.587423313,446,61,6.416666667
3/1,11,5,11.08333333,6,31,0,6.516666667,7.433333333,2.3,,,7.683333333,,,9.21,5.69,3.52,1.618629174,353,28,5.416666667
3/2,11,20,11.33333333,6,6,0,6.1,6.766666667,0.95,,,6.9,,,8.77,7.51,1.26,1.167776298,226,111,1.916666667
3/3,11,2,11.03333333,6,5,0,6.083333333,7.05,2.4,,,7.066666667,,,7.58,6.37,1.21,1.189952904,403,82,5.35
3/4,12,22,12.36666667,6,54,0,6.9,6.533333333,1.133333333,,,9.983333333,,,3.36,2.975,0.385,1.129411765,596,34,9.366666667
3/5,10,45,10.75,9,24,19,9.4,10.33333333,2.783333333,,,13.46666667,,,3.32,2.88,0.44,1.152777778,468,12,7.6
3/6,10,42,10.7,7,8,0,7.133333333,8.433333333,2.916666667,,,7.883333333,,,8.61,6.35,2.26,1.355905512,285,75,3.5
